date, price
2021-03-17,25.16
2021-03-18,24.7
2021-03-19,24.97
2021-03-22,23.83
2021-03-23,22.27
2021-03-24,21.81
2021-03-25,22.77
2021-03-26,22.93
2021-03-29,22.91
2021-03-30,24.12
2021-03-31,23.9
2021-04-01,23.86
2021-04-05,24.23
2021-04-06,24.06
2021-04-07,23.93
2021-04-08,23.65
2021-04-09,23.54
2021-04-12,22.91
2021-04-13,22.56
2021-04-14,22.37
2021-04-15,22.13
2021-04-16,22.03
2021-04-19,21.55
2021-04-20,20.37
2021-04-21,21.01
2021-04-22,20.07
2021-04-23,21.11
2021-04-26,22.04
2021-04-27,21.76
2021-04-28,21.7
2021-04-29,21.3
2021-04-30,21.72
2021-05-03,21.95
2021-05-04,21.42
2021-05-05,21.57
2021-05-06,21.49
2021-05-07,22
2021-05-10,22
2021-05-11,21.57
2021-05-12,20.76
2021-05-13,21.21
2021-05-14,22.4
2021-05-17,23.35
2021-05-18,23.56
2021-05-19,22.97
2021-05-20,22.6
2021-05-21,22.57
2021-05-24,22.99
2021-05-25,23.21
2021-05-26,23.9
2021-05-27,24.43
2021-05-28,24.24
2021-06-01,24.67
2021-06-02,25.82
2021-06-03,24.93
2021-06-04,24.3
2021-06-07,24.25
2021-06-08,24.22
2021-06-09,23.85
2021-06-10,23.46
2021-06-11,23.53
2021-06-14,22.99
2021-06-15,22.79
2021-06-16,22.83
2021-06-17,22.23
2021-06-18,22.29
2021-06-21,22.45
2021-06-22,22.11
2021-06-23,22.2
2021-06-24,22.35
2021-06-25,22.22
2021-06-28,21.39
2021-06-29,21.08
2021-06-30,21.21
2021-07-01,21.51
2021-07-02,21.48
2021-07-06,21.01
2021-07-07,20.31
2021-07-08,20.35
2021-07-09,20.89
2021-07-12,20.84
2021-07-13,20.02
2021-07-14,20.62
2021-07-15,20.46
2021-07-16,19.79
2021-07-19,18.97
2021-07-20,20.56
2021-07-21,21.4
2021-07-22,21.16
2021-07-23,21.2
2021-07-26,22.08
2021-07-27,21.46
2021-07-28,21.63
2021-07-29,21.17
2021-07-30,20.38
2021-08-02,20.06
2021-08-03,19.95
2021-08-04,19.45
2021-08-05,20.91
2021-08-06,21.02
2021-08-09,20.56
2021-08-10,20.94
2021-08-11,21.23
2021-08-12,20.43
2021-08-13,19.84
2021-08-16,19.76
2021-08-17,19.34
2021-08-18,19.14
2021-08-19,18.73
2021-08-20,18.5
2021-08-23,19.11
2021-08-24,19.83
2021-08-25,20.15
2021-08-26,19.9
2021-08-27,20.22
2021-08-30,19.51
2021-08-31,19.94
2021-09-01,19.64
2021-09-02,19.76
2021-09-03,19.37
2021-09-07,19.53
2021-09-08,19.13
2021-09-09,20.2
2021-09-10,18.95
2021-09-13,19.31
2021-09-14,19.21
2021-09-15,19.38
2021-09-16,19.89
2021-09-17,19.73
2021-09-20,20.33
2021-09-21,19.76
2021-09-22,20.52
2021-09-23,20.9
2021-09-24,21.39
2021-09-27,21.47
2021-09-28,21.43
2021-09-29,21.01
2021-09-30,20.52
2021-10-01,21.65
2021-10-04,21.39
2021-10-05,21.47
2021-10-06,20.54
2021-10-07,20.17
2021-10-08,20.07
2021-10-11,20.13
2021-10-12,20.29
2021-10-13,19.61
2021-10-14,19.64
2021-10-15,19.98
2021-10-18,19.84
2021-10-19,19.53
2021-10-20,19.52
2021-10-21,19.89
2021-10-22,19.15
2021-10-25,19.23
2021-10-26,19.39
2021-10-27,19.03
2021-10-28,19.19
2021-10-29,19.2
2021-11-01,19.77
2021-11-02,19.83
2021-11-03,20.63
2021-11-04,20.63
2021-11-05,21.82
2021-11-08,22.25
2021-11-09,22.26
2021-11-10,21.57
2021-11-11,21.33
2021-11-12,20.29
2021-11-15,20.32
2021-11-16,19.84
2021-11-17,19.86
2021-11-18,19.39
2021-11-19,19.28
2021-11-22,19.63
2021-11-23,19.47
2021-11-24,19.46
2021-11-26,17.75
2021-11-29,17.74
2021-11-30,17.69
2021-12-01,16.28
2021-12-02,17.42
2021-12-03,16.62
2021-12-06,17.93
2021-12-07,17.89
2021-12-08,18.23
2021-12-09,18.14
2021-12-10,18.01
2021-12-13,17.12
2021-12-14,16.91
2021-12-15,16.99
2021-12-16,16.52
2021-12-17,16.95
2021-12-20,17.3
2021-12-21,18.12
2021-12-22,18.26
2021-12-23,18.26
2021-12-27,18.17
2021-12-28,18.54
2021-12-29,18.05
2021-12-30,18.07
2021-12-31,17.96
2022-01-03,18.75
2022-01-04,19.02
2022-01-05,18.68
2022-01-06,18.57
2022-01-07,19.28
2022-01-10,18.79
2022-01-11,19.02
2022-01-12,18.5
2022-01-13,19.34
2022-01-14,18.49
